no,romaji,kana,kanji,meaning_mm
104,ajiwau,あじわう,味わう,အရသာမြည်းသည်။ အရသာကိုခံစားသည်။ လက်တွေ့ အတွေအကြုံရသည်။
105,asu,あす,明日,မနက်ဖြန်
106,azukaru,あずかる,預かる,ထိန်းသိမ်းသည်။ တာဝန်လွှဲအပ်ခြင်းခံရသည်။
107,azukeru,あずける,預ける,အပ်နှံသည်။ တာဝန်လွှဲပေးသည်။ အမှီသဟဲပြုသည်။
108,ase,あせ,汗,ချွေး
109,asesumento,アセスメント,assessment,အကျိုးအကြောင်းလေ့လာပြီး တန်ဖိုးဖြတ်ခြင်း
110,aseru,あせる,焦る,ဆန္ဒစောသည်။ စိတ်လောသည်။ ပြာယာခတ်သည်။
111,aseru,あせる,褪せる,အရောင်လွင့်သည်။ အရောင်မှိန်သည်။ အရောင်ပြယ်သည်။
112,azento,あぜんと,唖然と,ပါးစပ်အဟောင်းသားဖြစ်ခြင်း
113,asoko,あそこ,,ဟိုနေရာ
114,asobi,あそび,遊び,ကစားခြင်း
115,asobu,あそぶ,遊ぶ,ကစားသည်
116,atai,あたい,値／価,တန်ဘိုး၊ စျေးနှုန်းတွက်ချက်ပြီးထွက်လာသည့်ဂဏန်း
117,ataisuru,あたいする,価する,တန်ဘိုးရှိသည်
118,ataeru,あたえる,与える,ပေးအပ်သည်( ဘေးအန္တရာယ်ပေးသည်)
119,atakamo,あたかも,,တကယ်ပဲ… ကဲ့သို့သော
120,atatakai,あたたかい,暖かい／温かい,နွေးသော
121,atatamaru,あたたまる,温まる／温まる,နွေးလာသည်
122,atatameru,あたためる,温める／温める,နွှေးသည်။ ပူအောင်လုပ်သည်
123,atama,あたま,頭,ဦးခေါင်း
124,atarashii,あたらしい,新しい,သစ်သော
125,atari,あたり,辺り,အနီးအနား
126,atari,あたり,当たり,ထိမှန်ခြင်း
127,atariichimen,あたりいちめん,辺り一面,မြင်ကွင်းတစ်လျှောက်လုံး
128,atarimae,あたりまえ,当たり前,အဆန်းမဟုတ်ခြင်း၊ သဘာဝ
129,ataru,あたる,当たる,ထိမှန်သည်
130,achikochi,あちこち,,ဟိုဟိုဒီဒီ
131,achira,あちら,,ဟိုးဘက်
132,achirakochira,あちらこちら,,ဟိုနေရာဒီနေရာ
133,atsui,あつい,暑い,ပူသော (ရာသီဥတု)
134,atsui,あつい,熱い,ပူသော (အရာဝတ္ထု)
135,atsui,あつい,厚い,ထူသော
136,akka(suru),あっか（する）,悪化（する）,ပိုမိုဆိုးဝါးလာခြင်း
137,atsukai,あつかい,扱い,ကိုင်တွယ်ခြင်း
138,atsukau,あつかう,扱う,ကိုင်တွယ်သည်
139,atsukamashii,あつかましい,厚かましい,အရှက်မဲ့သော
140,akkenai,あっけない,,ထင်တာထက်လွယ်ကူ၍ အားမရဖြစ်သော
141,assari,あっさり,,ဆီမများသော၊ ချေးမများသော၊ အရသာပေါ့သော၊ အရောင်နုသော
142,asshuku(suru),あっしゅく（する）,圧縮（する）,လေကိုဖိအားပေးခြင်း
143,assen(suru),あっせん（する）,斡旋（する）,ကြားဝင်ဖြန်ဖြေမှု၊ ပွဲစားလုပ်ခြင်း
144,attou(suru),あっとう（する）,圧倒（する）,အပြတ်အသတ်နိုင်ခြင်း
145,atsutōteki(na),あっとうてき（な）,圧倒的（な）,အဆမတန်ဖြစ်သော
146,appaku(suru),あっぱく（する）,圧迫（する）,ဖိနှိပ်ခြင်း၊ ဖိအားပေးခြင်း
147,appu,アップ,up,အထက်အမြင့်သို့
148,atsumaru,あつまる,集まる,စည်းရုံးသည်
149,atsumeru,あつめる,集める,စုဆောင်းသည်
150,atsuraeru,あつらえる,誂える,မိမိဆန္ဒပြည့်ဝအောင် မှာကြားသည်။ အော်ဒါမှာသည်
151,atsuriyoku,あつりょく,圧力,ဖိအား
152,ate,あて,当て,မျှော်မှန်းချက်
153,ateji,あてじ,当て字,ခန်းဂျီးအသံထွက် ဖော်ပြပေးခြင်း
154,atena,あてな,宛名,လိပ်စာ၊ လိပ်မူခြင်း
155,atehamaru,あてはまる,当てはまる,အကျုံးဝင်သည်။ အံဝင်ခွင်ကျသည်။သင့်လျော်သည်
156,atehameru,あてはめる,当てはめる,အံဝင်ခွင်ကျစေသည်
157,ateru,あてる,当てる／充てる,ထိမှန်သည်။ တို့သည်။ နေရောင်ခြည်၊လေ၊အပူဓါတ်ကို ထိရောက်စေသည်
158,ateru,あてる,宛てる,လိပ်မူသည်
159,ato,あと,跡,ခြေရာ၊ လမ်းကြောင်း
160,ato(de),あと（で）,後（で）,နောက်လာမဲ့
161,atotsugi,あとつぎ,跡継ぎ,လုပ်ငန်းဆက်ခံသူ၊ အမွေဆက်ခံသူ
162,adobaisu,アドバイス,,အကြံပေးခြင်း
163,atomawashi,あとまわし,後回し,နောက်မှလုပ်စေခြင်း၊ နောက်မှာထားထားခြင်း
164,adoresu,アドレス,address,လိပ်စာ
165,ana,あな,穴,အပေါက်၊ အားနည်းချက်
166,anaunsā,アナウンサー,announcer,သတင်းကြေညာသူ
167,anaunsu,アナウンス,announce,ကြေငြာခြင်း
168,anagachi(~nai),あながち（～ない）,,အမြဲတမ်း…လို့မပြောနိုင်သော
169,anata,あなた,貴方,သင်
170,ani,あに,兄,အစ်ကို
171,anime,アニメ,animation,ကာတွန်း
172,ane,あね,姉,အစ်မ
173,ano,あの,,ဟို
174,apāto,アパート,apartment,တိုက်ခန်း
175,abareru,あばれる,暴れる,ရမ်းသည်၊ ရမ်းကားသည်။ သောင်းကျန်းသည်။ အစွမ်းပြသည်။
176,apīru(suru),アピール（する）,appeal,ခိုင်ခိုင်မာမာထုတ်ဖော်သည်။
177,abiru,みずをあびる,（水）を浴びる,ရေချိုးသည်။ ခံရသည်
178,abunai,あぶない,危ない,အန္တရာယ်ရှိသော
179,abura,あぶら,油／脂,ဆီ၊ အဆီ
180,aburae,あぶらえ,油絵,ဆီဆေးပန်းချီ
181,afurika,アフリカ,africa,အာဖရိကတိုက်
182,aburu,あぶる,焙る,မီးဖုတ်သည်။ ကင်သည်။ မီးဖြင့် အခြောက်ခံသည်။
183,afureru,あふれる,溢れる,ပြည့်သည်။ ပြည့်လျှံသည်။ ရေလျှံသည်။
184,apurōchi(suru),アプローチ（する）,approach,ချည်းကပ်သည်။ အနီးကပ်လေ့လာခြင်း
185,abekobe,あべこべ,,ပြောင်းပြန်
186,amai,あまい,甘い,ချိုသော၊ ပြင်းထန်သော၊ အလိုလိုက်သော၊ မတင်းကြပ်သော
187,amaeru,あまえる,甘える,နွဲ့ဆိုးဆိုးသည်။ ချွဲသည်။ မှီခိုအားထားသည်။
188,amagasa,あまがさ,雨傘,မိုးတွင်းဆောင်းထီး
189,amagu,あまぐ,雨具,မိုးကာပစ္စည်း
190,amakuchi,あまくち,甘口,ချိုသောအရသာ၊ အချိုကြိုက်ခြင်း
191,amagumo,あまぐも,雨雲,မိုးတိမ်
192,amachua,アマチュア,amateur,အပျော်တမ်း
193,amado,あまど,雨戸,မိုးကာတံခါး
194,amayakasu,あまやかす,甘やかす,အလိုလိုက်သည်
195,amari,あまり,余り,အပိုအလျှံ၊ အကြွင်း
196,amari,あまり,,သိပ်ပြီးတော့
197,amarinimo,あまりにも,,အရမ်း…လွန်သည်
198,amaru,あまる,余る,ပိုလျှံသည်
199,ami,あみ,編み,ပိုက်
200,amimono,あみもの,編み物,သိုးမွှေးထည်
201,amu,あむ,編む,သိုးမွှေးထိုးသည်
202,ame,あめ,飴,သကြားလုံး
203,ame,あめ,雨,မိုး
204,amerika,アメリカ,america,အမေရိကန်
205,ayaui,あやうい,危うい,အန္တရာယ်နှင့်ကြုံတွေ့လုနီးသော
206,ayauku,あやうく,危うく,အန္တရာယ်ရှိစွာဖြင့်
207,ayashii,あやしい,怪しい,သင်္ကာမကင်းဖြစ်သော
208,ayatsuru,あやつる,操る,ကြိုးဆွဲသည်။ ခြယ်လှယ်သည်
209,ayabumu,あやぶむ,危ぶむ,အန္တရာယ်ရှိမလားလို့ စိတ်ပူပန်ခြင်း
210,ayabuya(na),あやぶや（な）,,မရေမရာ၊ မရှင်းမလင်း
211,ayamachi,あやまち,過ち,ပြစ်မှု၊ အမှား
212,ayamari,あやまり,誤り,အမှားအယွင်း
213,ayamaru,あやまる,誤る,မှားယွင်းသည်
214,ayamaru,あやまる,謝る,တောင်းပန်သည်
215,ayumi,あゆみ,歩み,ခြေလှမ်း
216,ayumu,あゆむ,歩む,လမ်းလျှောက်သည်။
217,arāmu,アラーム,alarm,အချက်ပေးခေါင်းလောင်း
218,arai,あらい,粗い／荒い,ကြမ်းတမ်းသော
219,arau,あらう,洗う,ဆေးကြောသည်
220,arakajime,あらかじめ,予め,ကြိုတင်
221,arashi,あらし,嵐,လေမုန်တိုင်း
222,arasu,あらす,荒らす,ဖျက်ဆီးသည်။ ရှုပ်ပွစေသည်
223,arasuji,あらすじ,粗筋,ဇာတ်လမ်းအကျဉ်း
224,arasoi,あらそい,争い,အငြင်းပွားမှု
225,arasou,あらそう,争う,ပြိုင်သည်။စစ်ပွဲပြုလုပ်သည်၊ယှဉ်ပြိုင်သည်၊ပြိုင်ဆိုင်သည်
226,arata(na),あらた（な）,新た（な）,အသစ်
227,aratamaru,あらたまる,改まる,ပြန်လည်ကောင်းမွန်လာသည် ၊ အသစ်ဖြစ်လာသည်၊ တင်းကျပ်လာသည်
228,aratamete,あらためて,改めて,ထပ်မံ ၊တဖန် ၊ အသစ်တဖန်
229,aratameru,あらためる,改める,ပြုပြင်သည်၊ ပြင်ဆင်သည် ၊ စစ်ဆေးသည်
230,arappoi,あらっぽい,荒っぽい,ရမ်းကားသော ၊ ပေါ့ဆသော၊ တို့လို့ တမ်းလန်းထားသော
231,aranami,あらなみ,荒波,ကြမ်းတမ်းသောလှိုင်း
232,arabu,アラブ,Arab,အာရပ်စော်ဘွားနိုင်ငံ
233,arayuru,あらゆる,,အလုံးစုံ ၊အားလုံးသော
234,arare,あられ,霰,မိုးသီး
235,arawasu,あらわす,表す,ဖော်ပြသည်။ ဖြစ်ပေါ်သည်
236,arawasu,あらわす,現す,ဖော်သည်၊ပေါ်လာသည်
237,arawasu,あらわす,著す,စာအုပ်ရေးသည်
238,araware,あらわれ,現れ,ပေါ်ပေါက်ခြင်း
239,arawareru,あらわれる,現れる,ဖြစ်ပေါ်လာသည်၊ပေါ်ထွက်လာသည်
240,ari,アリ,蟻,ပုရွက်ဆိတ်
241,arigatai,ありがたい,有難い,ကျေးဇူးတင်သော၊ဝမ်းမြောက်ဝမ်းသာဖြစ်သော
242,arisama,ありさま,有様,အခြေအနေ
243,arittake,ありったけ,,ရှိသမျှအကုန်လုံး
244,aritoarameru,ありとあらめる,,တတ်နိုင်သလောက်
245,arinomama,ありのまま,ありのまま,အရှိအတိုင်း
246,arifureta,ありふれた,,သာမညဖြစ်သော
247,arifureru,ありふれる,,မထူးဆန်းခြင်း၊သာမန်ဖြစ်ခြင်း
248,aru,ある,或る,တချို့သော၊တခုသော
249,aru,ある,在る／有る,ရှိသည်
250,aruiwa,あるいは,,သို့မဟုတ်
251,arukari,アルカリ,Alkali,အယ်လ်ကာလိုင်းဓါတ်၊ အငန်ဓါတ်၊
252,aruku,あるく,歩く,လမ်းလျှောက်သည်
253,arukōru,アルコール,alcohol,အယ်လ်ကိုဟော၊အရက်ပြန်
254,arubaito,アルバイト,arbeit,အချိန်ပိုင်းအလုပ်
255,arubamu,アルバム,album,ဓာတ်ပုံစာအုပ်
256,arumi,アルミ,aluminum,အလူမီနီယံ
257,are,あれ,,ဟို
258,arekore,あれこれ,,ဟိုဟာဒီဟာ
259,areru,あれる,荒れる,ပျက်ပြားသည် ၊ ရမ်းကားသည် ၊ ကြမ်းသည်၊ပျက်စီးသည်
260,arerugī,アレルギー,allergy,ဓါတ်မတည့်ခြင်း၊ဆေးမတည့်ခြင်း
261,arenji (suru),アレンジ　（する）,arrange,စီစဉ်ပေးသည်
262,awa,あわ,泡,အမြုပ်
263,awā,アワー,hour,အချိန်အတိုင်းအတာ
264,awai,あわい,淡い,အရောင်ဖျော့သော
265,awasu,あわす,合わす,ကိုက်ညီစေသည် ၊ လိုက်လျောသည်၊ အလျှော့ပေးသည်
266,awaseru,あわせる,合わせる,ပေါင်းစပ်သည်
267,awatadashii,あわただしい,慌ただしい,ပြာယာခတ်သော
268,awateru,あわてる,慌てる,လောသည်။ပြာယာခတ်သည်
269,awaya,あわや,,အန္တရာယ်ဖြစ်ရန်အနည်းငယ်မျှသာလိုခြင်း
270,awayokuba,あわよくば,,ကံကောင်းလျှင်
271,aware(na),あわれ（な）,哀れ（な）,သနားစရာကောင်းသော
272,an,あん,案,အကြံ
273,ani(na),あんい（な）,安易（な）,ပေါ့ဆသော
274,angai,あんがい,案外,မျှော်မှန်းသည်ထက်ပို၍
275,anki(suru),あんき（する）,暗記（する）,အလွတ်ကျက်ခြင်း
276,ankēto,アンケート,enquete,အကြံဉာဏ်တောင်းစာလွှာ
277,ankōru,アンコール,encore,နောက်တစ်ခေါက်သီချင်းဆိုရန်တောင်းခံခြင်း
278,ansatsu(suru),あんさつ（する）,暗殺（する）,လုပ်ကြံခြင်း
279,anzan(suru),あんざん（する）,暗算（する）,ဦးနှောက်ဖြင့်တွက်ချက်ခြင်း
280,anji(suru),あんじ（する）,暗示（する）,သွယ်ဝိုက်ဖော်ပြသည်။သွယ်ဝိုက်အချက်ပေးသည်
281,ansyoubangou,あんしょうばんごう,暗証番号,လျှို့ဝှက်နံပါတ်
282,anjiru,あんじる,案じる,စိုးရိမ်သည်။စိတ်ပူသည်
283,anshin(suru),あんしん（する）,安心（する）,စိတ်ချသည်
284,ansei,あんせい,安静,ခန္ဓာကိုယ်မလှုပ်ရှားဘဲ ငြိမ်သက်နေခြင်း
285,anzen(na),あんぜん（な）,安全（な）,လုံခြုံမှု၊လုံခြုံစိတ်ချသော
286,anchoku(na),あんちょく（な）,安直（な）,ပေါ့ပါးလွယ်ကူသော
287,antei(suru),あんてい（する）,安定（する）,တည်တံ့မှု၊ခိုင်မြဲမှု
288,antena,アンテナ,antenna,ကောင်းကင်ကြိုး
289,anna,あんな,,ဒီလောက်တောင်၊ဟိုဟာလိုမျိုး
290,annai(suru),あんない（する）,案内（する）,လမ်းညွှန်မှု၊လမ်းပြခြင်း
291,annojō,あんのじょう,案の定,ထင်တဲ့အတိုင်း(မကောင်းသောကိစ္စဖြစ်လာခြင်း)
292,anmari(na),あんまり（な）,,အလွန်ကို၊အဲဒီလောက်ထိ၊သိပ်ပြီးတော့
293,i,い,胃,အစာအိမ်
294,i,い,異,ခြားနားချက်
295,i,い,意,ဆိုလိုရင်းအဓိပ္ပါယ်၊စိတ်
296,~i,～い,位,… အဆင့်
297,iie,いいえ,,မဟုတ်ပါ
298,iikagen(na),いいかげん（な）,いい加減,ပေါ့ပေါ့ဆဆ၊တာဝန်မဲ့သော၊တော်တော်
299,ījī(na),イージー（な）,easy,လွယ်ကူသော
300,iidasu,いいだす,言い出す,ပြောထွက်သည်။ စပြောသည်
301,iitsukeru,いいつける,言い付ける,တိုင်တန်းသည် ၊ တိုင်ပြောသည် ၊ အမိန့်ပေးသည်
302,iibun,いいぶん,言い分,ပြောစရာအကြောင်း၊ ပြောချင်သည့်ကိစ္စ
303,iiwake,いいわけ,言い訳,ဆင်ခြေ
304,iin,いいん,委員,အမှုဆောင် ၊ ကော်မတီဝင်
305,iin,いいん,医院,ဆေးခန်း
306,iinchou,いいんちょう,委員長,ဥက္ကဌ
307,iu,いう,言う,ပြောသည်
308,iunareba,いうなれば,言うなれば,ဥပမာပြောရရင်
309,ie,いえ,家,အိမ်
310,iede,いえで,家出,အိမ်ပြေး
311,ien,いえん,以遠,အလှမ်းဝေးကွာသော၊မူလထက်ဝေးကွာခြင်း
312,ika,いか,以下,အောက်၊...ထက်နည်း၍
313,igai,いがい,以外,အပ၊...မှလွဲပြီး
314,igai(na),いがい（な）,意外（な）,မျှော်လင့်မထားသော
315,ikaga,いかが,,ဘယ်လို
316,igaku,いがく,医学,ဆေးပညာ
317,ikasu,いかす,生かす,အသက်ရှင်စေသည် ၊ လက်တွေ့အသုံးချသည်
318,ikani,いかに,,ဘယ်လောက်တောင် ၊ ဘယ်လောက်များ၊ ဘယ်လို
319,ikanimo,いかにも,,အမှန်တကယ် —ကဲသို့ ၊ ပြောတဲ့အတိုင်းပဲသဘောတူသည်
320,ikari,いかり,怒り,ဒေါသ
321,iki,いき,息,အသက်ရှူခြင်း
322,igi,いぎ,意義,အနက်အဓိပ္ပါယ် ၊ စကားလုံးတွင်ရှိသောတန်ဖိုး၊ အနှစ်သာရ
323,igi,いぎ,異議,ကန့်ကွက်ခြင်း ၊ ခြားနားသောအမြင်
324,iki(na),いき（な）,粋（な）,မိုက်ခြင်း (ဘန်းစကား ) ၊ စတိုင်ကောင်းသော
325,iki/yuki,いき／ゆき,行き,အသွား၊ အသွားခရီး
326,ikiiki,いきいき,生き生き,စိတ်အားထက်သန်ခြင်း ၊ သွက်သွက်လက်လက်
327,ikioi,いきおい,勢い,အရှိန် ၊ အင်အား ၊ အာဏာ
328,ikigai,いきがい,生きがい,အသက်ရှင်ရကျိုးနပ်ခြင်း ၊ အသက်ရှင်ခြင်းတန်ဖိုး
329,yukikaeri,ゆきかえり,行き帰り,အသွားအပြန်
330,ikigomu,いきごむ,意気込む,စိတ်အားထက်သန်သည် ၊ အားထုတ်သည်
331,ikisaki,いきさき,行先,သွားရမည့်နေရာ
332,ikisatsu,いきさつ,経緯,အကျိုးအကြောင်းဖြစ်စဉ်
333,ikichigai,いきちがい,行き違い,လွဲသွားခြင်း၊ အထင်လွဲမှားခြင်း
334,ikinari,いきなり,,ရုတ်တရက်
335,ikinuki,いきぬき,息抜き,စိတ်အနားပေးခြင်း၊လေဝင်လေထွက်
336,ikinokoru,いきのこる,生き残る,မသေပဲကျန်ရစ်ခြင်း
337,ikimono,いきもの,生き物,သက်ရှိသတ္တဝါ
338,igyou,いぎょう,偉業,လုပ်ငန်းကြီး၊ပြောင်မြောက်သောအလုပ်
339,igirisu,イギリス,England,အင်္ဂလန်
340,ikiru,いきる,生きる,အသက်ရှင်သည်
341,iku~,いく～,幾～,ဘယ်…(အရည်အသွေးပမာဏကမသေချာခြင်းကိုဖော်ပြသည်)
342,iku/yuku,いく／ゆく,行く,သွားသည်
343,ikuei (suru),いくえい　（する）,育英（する）,လူ့အရင်းအမြစ်မွေးထုတ်ခြင်း
344,ikusa,いくさ,戦,စစ်ပွဲ၊တိုက်ပွဲ
345,ikuji,いくじ,育児,ကလေးပြုစုစောင့်ရှောက်ခြင်း၊ ကလေးပြုစုပျိုးထောင်ခြင်း
346,ikusei(suru),いくせい（する）,育成（する）,ထူးချွန်အောင်ပြုစုပျိုးထောင်ပေးခြင်း
347,ikutano,いくたの,幾多の,အတော်များများ
348,ikutsu,いくつ,幾つ,ဘယ်နှစ်ခု
349,ikubun,いくぶん,幾分,အနည်းအကျဉ်း၊အနည်းငယ်
350,ikura,いくら,,ဘယ်လောက်
351,ike,いけ,池,ရေကန်၊ရေအိုင်
352,ikenai,いけない,,မလုပ်ရဘူး၊မှားသွားပြီ
353,ikebana,いけばな,生け花,ဂျပန်ပန်းအလှပညာ
354,ikeru,いける,活ける,ပန်းအလှပြုပြင်သည်
355,iken,いけん,意見,ထင်မြင်ချက်
356,igo,いご,以後,နောက်
357,igo,いご,囲碁,ကျားကွက်
358,ikō,いこう,以降,နောက်ပိုင်း၊ကတည်းက
359,ikō,いこう,意向,ဆန္ဒ
360,ikō(suru),いこう（する）,移行（する）,ရွှေ့ပြောင်းနေထိုင်ခြင်း
361,ikōru,イコール,equal,ညီမျှခြင်း
362,iza,いざ,,…. ကဲ(အရေးကြုံသည်ကိုဖော်ပြသည်)
